Provincia,Año,Trimestre,Acesosx100hab,Acesosx100hog,MbpsMediaBajada,Incremento_habitantes,KPI_Habitantes_Cumplido,Incremento_hogar,KPI_Hogar_Cumplido,Incremento_Velocidad,KPI_Velocidad_Cumplido
San Juan,2021,2,10.0067190669371,39.2840257006206,6.99316260162602,0.5865320629327764,0,0.5859178763728101,0,1.2021928267137882,0
San Juan,2021,3,10.0502366420225,39.4554480019856,7.04130082039497,0.43488354968599374,0,0.4363664321762384,0,0.6883612109599424,0
San Juan,2021,4,10.0841332359703,39.5888518648717,11.0527493081578,0.3372716002135734,0,0.3381126552647107,0,56.97027566474306,1
San Juan,2022,1,11.0921164686066,43.5459816093316,11.99,0.0,0,0.0,0,0.0,0
San Juan,2022,2,12.5979124556312,49.46,14.44,13.575371222312448,1,13.581088706933798,1,20.433694745621356,1
San Juan,2022,3,12.94,50.8,15.84,2.715430398279106,1,2.709260008087333,1,9.695290858725759,1
San Juan,2022,4,12.96,50.88,16.39,0.15455950540959051,0,0.15748031496063408,0,3.472222222222232,0
San Juan,2023,1,12.67,49.75,18.7,0.0,0,0.0,0,0.0,0
San Juan,2023,2,12.1,47.52,20.39,-4.498816101026049,0,-4.482412060301499,0,9.03743315508021,1
San Juan,2023,3,12.85,50.45,24.45,6.198347107438007,1,6.165824915824913,1,19.911721432074536,1
San Juan,2023,4,12.75,50.08,24.78,-0.7782101167315147,0,-0.7333994053518422,0,1.3496932515337567,0
San Juan,2024,1,13.15,51.62,30.58,0.0,0,0.0,0,0.0,0
San Juan,2024,2,13.03,51.17,32.17,-0.9125475285171158,0,-0.8717551336691165,0,5.199476782210599,0
San Luis,2014,2,2.78151226486048,9.71791019987182,3.50410448104175,0.0,0,0.0,0,0.0,0
San Luis,2014,3,2.77005134128578,9.71121075967275,3.50311319018405,-0.412039296733957,0,-0.06893910379165424,0,-0.028289420679739052,0
San Luis,2014,4,2.7819569555272,9.7863933663512,3.50362120635887,0.42979760208681217,0,0.774183657826244,0,0.014501848705417153,0
San Luis,2015,1,2.79040145762204,9.71604896376059,3.50099427046543,0.0,0,0.0,0,0.0,0
San Luis,2015,2,2.77861844594083,9.70797183720366,3.50277095310136,-0.4222694067559596,0,-0.08313180169281509,0,0.05074794468868937,0
San Luis,2015,3,2.76881185526522,9.70650326873876,3.50275387159826,-0.35293045325945904,0,-0.01512744875579175,0,-0.0004876568673428672,0
San Luis,2015,4,2.75929157725098,9.70576898450631,3.50293742586002,-0.34383983137518115,0,-0.007564868749543319,0,0.005240284315943811,0
San Luis,2016,1,2.75295018391838,9.58634628277021,3.50290043923865,0.0,0,0.0,0,0.0,0
San Luis,2016,2,2.74873045396768,9.60373385160232,3.50198336917563,-0.1532802872841632,0,0.1813784764207904,0,-0.026180306261258668,0
San Luis,2016,3,2.74724252738872,9.63053968688516,3.50302377404017,-0.054131410986912876,0,0.27911888955947095,0,0.029709017858214892,0
San Luis,2016,4,2.74102682939389,9.64068243537056,3.50282414997505,-0.2262522486770835,0,0.10531858873092936,0,-0.0056986214766574506,0
San Luis,2017,1,2.73198352638775,9.5455001936789,3.50282414997505,0.0,0,0.0,0,0.0,0
San Luis,2017,2,2.72299969919519,9.5139703148683,3.50282414997505,-0.32883899576211517,0,-0.3303114364973547,0,0.0,0
San Luis,2017,3,4.42980917494065,15.4778617902981,3.50338739319684,62.68122160461218,1,62.685622069994395,1,0.016079688778947165,0
San Luis,2017,4,3.0299272402738,10.5867310697542,5.73220880135405,-31.60140492249547,0,-31.60081661673565,0,63.6190394612173,1
San Luis,2018,1,4.33561502267505,15.1487903482749,5.89436270457927,0.0,0,0.0,0,0.0,0
San Luis,2018,2,4.33613750896293,15.1504244913514,5.90057518488085,0.012051030480053626,0,0.010787284257873786,0,0.10539698035130218,0
San Luis,2018,3,14.9833598756571,52.3531149755192,8.81498757935413,245.54623428537568,1,245.55543315241698,1,49.392005069962174,1
San Luis,2018,4,19.3325493092293,67.5504536976004,8.81899279190052,29.02679685774727,1,29.02852815766095,1,0.04543639466687566,0
San Luis,2019,4,21.4413528932678,74.9200260348146,20.6903534221431,0.0,0,0.0,0,0.0,0
San Luis,2020,1,21.8387693863723,76.3085418464193,20.9893797442827,0.0,0,0.0,0,0.0,0
San Luis,2020,2,22.4402866477222,78.4096773527651,21.0206269368907,2.7543551136414157,1,2.753473537175699,1,0.1488714435047056,0
San Luis,2020,3,22.8839263803681,79.9617220941719,20.8499281337887,1.9769789023213358,1,1.979404575820598,0,-0.8120538155901857,0
San Luis,2020,4,23.3753143684741,81.679478061057,21.2529540821891,2.147306279256167,1,2.148222826994739,1,1.9329848324381782,0
San Luis,2021,1,23.248835158317,81.2373017712751,21.5943798047108,0.0,0,0.0,0,0.0,0
San Luis,2021,2,23.8905552767436,83.4781072006307,21.6618899896392,2.760224820111179,1,2.7583454650729644,1,0.31262849657609504,0
San Luis,2021,3,22.8574088187895,79.8704334921291,21.6987070711638,-4.3244974676659,0,-4.321700418806751,0,0.16996246191911535,0
San Luis,2021,4,22.9789562419762,80.2957828313538,20.9097244480146,0.5317637889329818,0,0.5325491807511407,0,-3.636081267706992,0
San Luis,2022,1,23.1016562316874,80.7242306060177,20.95,0.0,0,0.0,0,0.0,0
San Luis,2022,2,23.3969726787719,81.76,19.32,1.2783345233898347,1,1.283096024832342,0,-7.780429594272076,0
San Luis,2022,3,23.39,81.74,19.33,-0.029801628046621786,0,-0.024461839530343088,0,0.05175983436851439,0
San Luis,2022,4,25.83,90.27,30.67,10.431808465156035,1,10.435527281624669,1,58.665287118468726,1
San Luis,2023,1,25.8,90.17,55.85,0.0,0,0.0,0,0.0,0
San Luis,2023,2,26.73,93.41,103.84,3.604651162790695,1,3.593212820228442,1,85.9265890778872,1
San Luis,2023,3,28.2,98.55,104.97,5.499438832772152,1,5.502622845519745,1,1.0882126348227938,0
San Luis,2023,4,29.21,102.07,174.59,3.5815602836879457,1,3.5717909690512473,1,66.32371153662953,1
San Luis,2024,1,29.39,102.7,179.49,0.0,0,0.0,0,0.0,0
San Luis,2024,2,29.59,103.4,181.61,0.6805035726437536,0,0.6815968841285214,0,1.1811242966182078,0
Santa Cruz,2014,2,8.7446731811569,29.3770071530543,3.31815166016344,0.0,0,0.0,0,0.0,0
Santa Cruz,2014,3,8.34323913237982,28.231942904275,3.30732226015574,-4.590612370077984,0,-3.897824726710619,0,-0.3263684459548388,0
Santa Cruz,2014,4,8.15757414246012,27.8026789696523,3.33302618371396,-2.225334632914211,0,-1.5204902336271808,0,0.7771823105320763,0
Santa Cruz,2015,1,8.39189695742154,27.9948639434945,3.47421703066738,0.0,0,0.0,0,0.0,0
Santa Cruz,2015,2,8.05806385021754,27.0722450274482,3.47332349743749,-3.9780410662546117,0,-3.295672084381396,0,-0.025718981341771308,0
Santa Cruz,2015,3,8.15935448203892,27.6060609834294,3.48068774435859,1.257009546016996,1,1.971820052012574,0,0.21202306455281317,0
Santa Cruz,2015,4,8.143243109871939,27.7447690664797,3.48096796191061,-0.1974589068589494,0,0.5024551787144116,0,0.008050637477441391,0
Santa Cruz,2016,1,8.05141980281112,26.86586252145,3.48315808971074,0.0,0,0.0,0,0.0,0
Santa Cruz,2016,2,7.95535776752335,26.7289117253198,3.50211502760046,-1.193106776698316,0,-0.5097576748963717,0,0.5442456931747941,0
Santa Cruz,2016,3,7.93248460752977,26.8352018954507,3.53583356483625,-0.287518935816522,0,0.3976599242917045,0,0.9628049612891543,0
Santa Cruz,2016,4,7.94078021526284,27.0467602148458,3.56391640895886,0.10457767198432943,0,0.7883611989182082,0,0.7942354640753768,0
Santa Cruz,2017,1,7.89382704275053,26.5249917378546,3.59193007563632,0.0,0,0.0,0,0.0,0
Santa Cruz,2017,2,7.81200042630289,26.2486198287096,3.60311348968991,-1.036589932924703,0,-1.0419302364968464,0,0.3113483229934211,0
Santa Cruz,2017,3,9.90736656374063,33.2918297165896,3.61047050575864,26.822401729301927,1,26.832686571110486,1,0.20418496641256834,0
Santa Cruz,2017,4,8.60382164860814,28.9124928828068,5.20658482887451,-13.157330020504698,0,-13.154389143113221,0,44.207931364349704,1
Santa Cruz,2018,1,9.98473486255572,33.5527598985762,5.18928995085579,0.0,0,0.0,0,0.0,0
Santa Cruz,2018,2,9.91958805094006,33.3323645100661,5.18928995085579,-0.6524641115906893,0,-0.6568621752020221,0,0.0,0
Santa Cruz,2018,3,9.7389874592526,32.7278502945593,5.36971571660038,-1.8206460869143126,0,-1.8135953581218,0,3.4768873478506546,0
Santa Cruz,2018,4,7.04908001650705,23.6891941006561,5.11950736477287,-27.619990825534767,0,-27.61762875518223,0,-4.659620081077954,0
Santa Cruz,2019,4,10.9234277977238,36.7113630853583,5.20792506406971,0.0,0,0.0,0,0.0,0
Santa Cruz,2020,1,10.7041725372986,35.9742762889655,6.41717062736403,0.0,0,0.0,0,0.0,0
Santa Cruz,2020,2,10.6506751720812,35.792623969796,6.59320241817803,-0.4997804830872088,0,-0.5049505866646764,0,2.7431371399627036,0
Santa Cruz,2020,3,10.6972070325265,35.9515289078445,6.64936371202663,0.43689118007534944,0,0.4439600130535126,0,0.8518060008859907,0
Santa Cruz,2020,4,11.0086826606617,36.999572459088,7.49210862811905,2.911747217643934,1,2.915157110369293,1,12.67406856641271,1
Santa Cruz,2021,1,12.3918254034438,41.6478310399074,7.50153184753176,0.0,0,0.0,0,0.0,0
Santa Cruz,2021,2,13.096756425785,44.0149166554342,7.6296670052024,5.688677812917642,1,5.683574765895094,1,1.7081198917098472,0
Santa Cruz,2021,3,13.0162543718839,43.7473202801201,7.69232694181298,-0.6146716888053794,0,-0.607967470230486,0,0.8212669906544345,0
Santa Cruz,2021,4,12.8088213538475,43.0512146611735,8.99065098447755,-1.5936460068302738,0,-1.5911960195260755,0,16.87817031810368,1
Santa Cruz,2022,1,12.8942973288096,43.3384231105305,10.89,0.0,0,0.0,0,0.0,0
Santa Cruz,2022,2,12.8396228385264,43.15,11.81,-0.42402070379624623,0,-0.4347714960693083,0,8.448117539026633,1
Santa Cruz,2022,3,12.85,43.19,12.6,0.08082138863503285,0,0.09269988412514696,0,6.689246401354776,0
Santa Cruz,2022,4,12.95,43.53,14.33,0.7782101167315147,0,0.7872192637184527,0,13.730158730158726,1
Santa Cruz,2023,1,12.92,43.42,14.98,0.0,0,0.0,0,0.0,0
Santa Cruz,2023,2,12.39,41.66,15.48,-4.10216718266253,0,-4.053431598341795,0,3.337783711615483,0
Santa Cruz,2023,3,12.17,40.89,15.67,-1.7756255044390712,0,-1.8482957273163625,0,1.2273901808785403,0
Santa Cruz,2023,4,21.94,73.75,36.77,80.27937551355795,1,80.36194668623136,1,134.65220165922145,1
Santa Cruz,2024,1,20.1,67.58,31.6,0.0,0,0.0,0,0.0,0
Santa Cruz,2024,2,20.8,69.92,29.89,3.482587064676612,1,3.462562888428544,1,-5.411392405063298,0
Santa Fe,2014,2,15.2169574282303,48.3903513867014,3.31169104109792,0.0,0,0.0,0,0.0,0
Santa Fe,2014,3,15.4379886546179,49.1958844455727,3.37559291224911,1.4525323306586069,1,1.6646563535653192,0,1.929584322878286,0
Santa Fe,2014,4,15.6575328569008,49.9996230234827,3.78070786071651,1.4221036638554008,1,1.6337516582290545,0,12.001297520128906,1
Santa Fe,2015,1,15.8327732920364,50.2444947593192,4.06328306840814,0.0,0,0.0,0,0.0,0
Santa Fe,2015,2,16.0930258586793,51.1765389086788,4.30319618165638,1.6437585623347628,1,1.855017457781738,0,5.904415449505729,0
Santa Fe,2015,3,16.3639671637834,52.1459547408435,4.55989545240263,1.683594542650746,1,1.8942582926417817,0,5.965316474310534,0
Santa Fe,2015,4,16.4749431693188,52.6080897858581,4.80987377455356,0.678172990844228,0,0.8862337401076115,0,5.482106437752088,0
Santa Fe,2016,1,16.1578043492324,51.2773408540762,4.89813602895205,0.0,0,0.0,0,0.0,0
Santa Fe,2016,2,16.48911930902,52.4364772593711,5.13859853091851,2.050494934996161,1,2.2605236269828133,1,4.909265494978654,0
Santa Fe,2016,3,16.5293619323644,52.6721503688625,5.67726376156478,0.2440556259568405,0,0.449444970007562,0,10.482726513954477,1
Santa Fe,2016,4,16.3450119715011,52.191050237189,6.04023332894067,-1.1152878230728414,0,-0.9133861600568061,0,6.393389185706022,0
Santa Fe,2017,1,16.3422547458363,51.9701076920804,6.28403648689241,0.0,0,0.0,0,0.0,0
